Company,Location,Sector,About,Amount,Stage,Funding Year
InVideo,Mumbai,Video,InVideo enables you to transform your content into great videos.,181910.23,Mid Stage,2020
Arzooo,Bengaluru,Retail Tech,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",90955.11,Mid Stage,2020
Hubilo,"San Francisco, California, United States",Tech company,World’s smartest virtual event platform that brings Experience & Intelligence together,54573.07,Early Stage,2020
BASIC Home Loan,Gurugram,FinTech,"A platform for automating home loans for middle and low-income households in India,",60636.74,Early Stage,2020
Ketos,"San Francisco, United States",AI startup,KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,218292.27,Other Stages,2020
SUGAR cosmetics,Mumbai,Cosmetics,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,24254.7,Other Stages,2020
Signzy,Bengaluru,FinTech,It is creating 'building blocks for a Digital Trust system.,65487.68,Mid Stage,2020
Ahaguru,Chennai,Edtech,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",36382.05,Mid Stage,2020
Tekion,"San Ramon, California",AI startup,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,1819102.26,Mid Stage,2020
Brighteye Ventures,"Paris, Ile-de-France, France",Edtech,Education technology venture capital firm.,65487.68,Early Stage,2020
EzeRx,Kolkata,Medtech,Developer and manufacturer of medical devices,2425.47,Early Stage,2020
VitalTech,"Plano, Texas, United States",HeathTech,"VitalTech is a develop technologies that empower patients to better care for their safety,",36382.05,Early Stage,2020
Genius Teacher,Mumbai,Edtech,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",24254.7,Other Stages,2020
Ultraviolette Automotive,Bengaluru,Automobiles,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,48509.39,Mid Stage,2020
Tring,Mumbai,Social Media,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",36382.05,Early Stage,2020
Rare Planet,Kolkata,Retail startup,Rare Planet sells handicrafts made by local artisans.,4850.94,Other Stages,2020
GoodGamer,Bengaluru,Gaming,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,30318.37,Early Stage,2020
InnAccel,Bengaluru,Medtech,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",18191.02,Other Stages,2020
Tiliter,Sydney,Retail,Software that uses computer vision to recognise products without barcodes,90955.11,Early Stage,2020
Slintel,"San Francisco Bay Area, Silicon Valley, West Coast",Sles and marketing,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",50934.86,Other Stages,2020
SoOLEGAL,New Delhi,LegalTech,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",48509.39,Early Stage,2020
HobSpace,Mumbai,Edtech,India's Activity Hub for Kids,2425.47,Early Stage,2020
Supplynote,Noida,SaaS startup,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,6063.67,Early Stage,2020
Hire Me Car,Noida,Car Service,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,36382.05,Early Stage,2020
ShopUp,Bangaldesh,E-commerce,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",266801.66,Mid Stage,2020
Harmonizer India,Bengaluru,Tech Startup,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",36382.05,Mid Stage,2020
Zomato,Gurugram,FoodTech,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,630622.12,Other Stages,2020
Dukaan,Mumbai,Tech Startup,Developer of an android application designed for businesses to sell online.,72764.09,Early Stage,2020
CredR,Mumbai,Bike marketplace,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,24254.7,Early Stage,2020
Satyukt,Bengaluru,Agri tech,An agritech company that provides business to business (B2B) agricultural data,6063.67,Early Stage,2020
RACEnergy,Hyderabad,Automobiles,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,36382.05,Late Stage,2020
TREAD,Bengaluru,Fitness startup,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,13340.08,Early Stage,2020
Anveshan,Bengaluru,FoodTech,Provide quality and healthy food products,1212.73,Early Stage,2020
TeaMonk,Bengaluru,Food & Bevarages,India's Finest Specialty Tea company.,10914.61,Other Stages,2020
Fleetx,Gurugram,Tech Startup,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.",36382.05,Other Stages,2020
ReNEWate,Pune,Real Estate,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",36382.05,Early Stage,2020
Tango Eye,Chennai,SaaS startup,Retail Video Analytics SaaS product,36382.05,Early Stage,2020
Rare Planet,Kolkata,Reatil startup,Rare Planet sells handicrafts made by local artisans.,36382.05,Other Stages,2020
Avataa Me,Bengaluru,AR platform,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,84891.44,Mid Stage,2020
Arrival,"London, England, United Kingdom",EV startup,Arrival is a technology company that specializes in developing electric vehicles.,1431027.11,Mid Stage,2020
Cover Genius,"Sydney, New South Wales, Australia",FinTech,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,181910.23,Late Stage,2020
Phononic Vibes,"Milano, Lombardia, Italy",Deeptech,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.",27892.9,Other Stages,2020
MikeLegal,Gurugram,LegalTech,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,36382.05,Early Stage,2020
Clair,"New York, United States",FinTech,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,54573.07,Early Stage,2020
Gourmet Garden,"Palmwoods, Queensland, Australia",Consumer Goods,Gourmet Garden is a global market leader in chilled convenient packaged herbs.,36382.05,Late Stage,2020
Miko,Mumbai,AI startup,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",36382.05,Other Stages,2020
Razorpay,Bengaluru,FinTech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",1212734.84,Late Stage,2020
Ninjacart,Bengaluru,Food Industry,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",363820.45,Other Stages,2020
Wow! Momo,Kolkata,Food Industry,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,60636.74,Other Stages,2020
Pepper Content,Mumbai,Content marketplace,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,50934.86,Mid Stage,2020
LIVSPACE,Bengaluru,Interior Design,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.",48509.39,Other Stages,2020
Acculi Labs,Bengaluru,Healthcare,Acculi Labs is a clinical grade smartphone based diagnostic tool,7276.41,Early Stage,2020
Your MD,"London, England, United Kingdom",Healthcare,Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,303183.71,Other Stages,2020
Antaios,France,Tech company,Developer of memory-based technology intended to solve issues of advanced computing.,133400.83,Mid Stage,2020
Unnati,Noida,AgriTech,A helping hand to the farming community through Artificial Intelligence,20616.49,Other Stages,2020
Disprz,Chennai,Edtech,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",19403.76,Other Stages,2020
Uni,Mumbai,FinTech,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,224355.95,Early Stage,2020
Credit Wise Capital,Mumbai,FinTech,CreditWise Capital is a consumer finance company.,72764.09,Early Stage,2020
Chargebee,"San Francisco Bay Area, West Coast, Western US",SaaS startup,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,667004.16,Late Stage,2020
Reliance Retail Ventures Ltd,Mumbai,Retail,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",848914388.57,Mid Stage,2020
Winuall,Bengaluru,Edtech,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.",24254.7,Early Stage,2020
Genrobotics,"Trivandrum, Kerala, India",AI startup,GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,3638.2,Other Stages,2020
Livve,Cochin,Rental space,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,18191.02,Early Stage,2020
Ergos,"Samastipur, Bihar",AgriTech,Ergos is building an integrated supply chain by setting up micro warehouses.,60636.74,Mid Stage,2020
Krishitantra,Hyderabad,Soil-Tech,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,12127.35,Early Stage,2020
PakkaProfile,Bengaluru,Recruitment startup,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games",36382.05,Early Stage,2020
Monet Networks,"Irvine, California, United States",AI startup,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,6063.67,Other Stages,2020
Unocoin,"Tumkur, Karnataka",FinTech,"Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",36382.05,Mid Stage,2020
Pesto,New Delhi,Edtech,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,36382.05,Early Stage,2020
NirogStreet,Gurugram,Ayurveda tech,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,24254.7,Other Stages,2020
Bambrew,Bengaluru,Packaging solution startup,Bambrew is an online shop for reusable bamboo straws.,36382.05,Early Stage,2020
Omnify,"San Francisco Bay Area, Silicon Valley, West Coast",SaaS startup,Omnify is a Global SaaS platform for Small Services Business,36382.05,Other Stages,2020
Fanball XI,New Delhi,Gaming,The gaming company mostly focused on fantasy football games,12127.35,Early Stage,2020
Treebo Hotels,Bengaluru,Hospitality,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.",72764.09,Early Stage,2020
GPS Renewables,Bengaluru,Cleantech,To solve the urban waste problem by utilising local technologies and business models.,36382.05,Mid Stage,2020
Public,New Delhi,Social Media,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,363820.45,Other Stages,2020
Legal Salah,Kolkata,LegalTech,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,12127.35,Early Stage,2020
FanPlay,New Delhi,Gaming,FanPlay Technologies operates as a real-money gaming startup.,36382.05,Early Stage,2020
ECOSTP,Bengaluru,Sanitation solutions,Eco friendly zero power zero maintenance sewage treatment plant in India.,230419.62,Early Stage,2020
Coralogix,"San Francisco, California, United States",SaaS startup,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,303183.71,Mid Stage,2020
Equiwatt,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",Tech company,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,3638.2,Other Stages,2020
Reliance Retail Ventures,Mumbai,E-commerce,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",9701878.73,Mid Stage,2020
Zhangmen,"Shanghai, China",Edtech,Zhangmen is an online tutoring platform provides tutoring courses to students.,4850939.36,Early Stage,2020
AgroWave,Gurugram,AgriTech,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,6063.67,Other Stages,2020
Sapio Analytics,Mumbai,Tech company,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,1819.1,Mid Stage,2020
Taimei,"Jiaxing, Zhejiang, China",HealthCare,Taimei Technology provides a cloud platform for clinical research collaboration.,2134413.32,Mid Stage,2020
Avanse Financial Services,Mumbai,FinTech,"Avanse, regulated by the Reserve Bank of India, is an education finance company that operates as a non-banking finance company (NBFC).",181910.23,Mid Stage,2020
Industry Buying,New Delhi,E-commerce,India's largest industrial ecommerce platform,181910.23,Other Stages,2020
Hopscotch,Mumbai,E-commerce,"Hopscotch provides an insider access to international brands for babies, kids, and moms.",303183.71,Mid Stage,2020
Pristyn Care,Gurugram,HealthCare,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,133400.83,Other Stages,2020
WoodenStreet,Rajastan,Home Design,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,12127.35,Mid Stage,2020
ACKO,Mumbai,InsureTech,Acko General Insurance is a private sector general insurance company in India.,727640.9,Mid Stage,2020
Farmers Fresh Zone,Kochi,AgriTech,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,5699.85,Early Stage,2020
Invento,Bengaluru,AI Startup,Invento Robotics specializes in developing service robots intended for customer interactions.,36382.05,Early Stage,2020
Infurnia,Bengaluru,Tech Startup,Infurnia Technologies is an eponymous cloud-based architecture design software platform.,2910.56,Other Stages,2020
AnalytIQSports's SuperCric,Bengaluru,Entertainment,SuperCric is India's first strategy Cricket Manager simulation game,36382.05,Other Stages,2020
Snowflake,California,Tech company,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,36382045.22,Other Stages,2020
GenieTalk,Indore,Tech company,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,9095.51,Mid Stage,2020
Classplus,Noida,EdTech,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,121273.48,Mid Stage,2020
Mobile Premier League,Bengaluru,Entertainment,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,897423.78,Early Stage,2020
Fourth Partner Energy,Hyderabad,Solar solution,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,194037.57,Early Stage,2020
Flipkart,Bengaluru,E-commerce,Flipkart is an e-commerce marketplace that offers over 30 million products cross 70+ categories.,751895.6,Early Stage,2020
Vivriti Capital,Chennai,FinTech,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,12127.35,Mid Stage,2020
InsuranceDekho,Ludhiana,FinTech,The funding for branding and marketing activities as well as strengthening the product and technology teams,242546.97,Other Stages,2020
BestDoc,Kochi,HealthCare,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,25467.43,Mid Stage,2020
Byju’s,Bengaluru,EdTech,An Indian educational technology and online tutoring firm,6063674.2,Mid Stage,2020
Melorra,Bengaluru,Jewellery startup,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,151591.86,Other Stages,2020
Reliance,Mumbai,Multinational conglomerate company,"Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources",26680166.5,Early Stage,2020
Inflexor Ventures,Mumbai,FinTech,Experienced Venture Capital-General Partner focused on Technology investments.,121273.48,Early Stage,2020
Pandorum,Bengaluru,Deeptech startup,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,61364.38,Mid Stage,2020
SpeakIn,Noida,Social Network,"AI-enabled network of speakers and thought leaders, aka. experts",36382.05,Other Stages,2020
LetsUp,Mumbai,Publication,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",36382.05,Mid Stage,2020
Newsreach,Gujarat,Publication,NewsReach India offers partner publications a digital footprint,36382.05,Mid Stage,2020
Dream11,Mumbai,Entertainment,Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket,2728653.39,Mid Stage,2020
SignalX,Hyderabad,SaaS platform,"An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis",9095.51,Other Stages,2020
JetSynthesys,Mumbai,Tech,Gaming and entertainment startup,485093.94,Early Stage,2020
Vesta Space Technology,Pune,Tech Startup,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.,121273.48,Early Stage,2020
Dozee,Bengaluru,HealthTech,Dozee offers health and wellness monitoring products.,19403.76,Early Stage,2020
Rebel Foods,Mumbai,Food,"Known for its larger brands – Faasos, Behrouz Biryani, Oven story and Mandarin",606367.42,Mid Stage,2020
Nykaa,Mumbai,Fashion,Cosmetics & beauty products online,299545.51,Other Stages,2020
Ketto,Mumbai,Finance,"Crowdfunding, Charity, E-commerce",93380.58,Late Stage,2020
Suryoday,Mumbai,Finance,Banks that extends two distinct fixed deposit schemes,9701.88,Mid Stage,2020
SucSEED,Hyderabad,Finance,Venture Partners,15765.55,Early Stage,2020
Unacademy,Bengaluru,EdTech,Unacademy is an Indian online education technology company,1819102.26,Other Stages,2020
Strata,Bengaluru,Real Estate,"Commercial Real Estate, Commercial Property Investment, Best Long Term Investments",231236.13,Other Stages,2020
3one4 Capital,Bengaluru,Venture capital,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,1212734.84,Mid Stage,2020
WE-Hub,Hyderabad,Entreprenurship,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,36382.05,Mid Stage,2020
Zomato,Gurugram,Food devlivery,Get online food delivery from restaurants near you,751895.6,Other Stages,2020
Vicara,Bengaluru,Tech Startup,A deep tech startup pioneering in motion-based interfaces and insights.,36382.05,Early Stage,2020
Gaana,Gurugram,Entertainment,Gaana is a commercial music streaming service providing free and licensed music.,618494.77,Mid Stage,2020
EM3 Agri,Noida,AgriTech,A pioneering organization in the farming-as-a service (FaaS) space,12127.35,Late Stage,2020
Plum,Thane,Cosmetics,"Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair",1394.65,Mid Stage,2020
Odwen,Noida,Warehouse,India's first do-it-yourself warehouse management system.,654.88,Other Stages,2020
Fasal,Bengaluru,AgriTech,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,242.55,Other Stages,2020
Trukky,Ahmedabad,Logistics,"Transportation, logistics services & cargo services.",36382.05,Mid Stage,2020
BankBazaar,Chennai,Online financial service,Check your latest Credit Score and get your Credit Report online in India for Free,109146.14,Late Stage,2020
Specsmakers,Chennai,Eyeglasses,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",36382.05,Other Stages,2020
Grinntech,Dehradun,Battery design,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability",24254.7,Mid Stage,2020
CreditMantri,Chennai,Online credit management startup,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,9740.03,Other Stages,2020
Chai Waale,Chennai,Beverage,Given the rising trend in the number of tea stalls in the city,2886.31,Early Stage,2020
Deepsync,Bengaluru,Tech Startup,"Deepsync is a revolutionary way to record your content, without you really speaking.",3638.2,Late Stage,2020
ConnectedH,Gurugram,HealthCare,The company’s vision is simple – Connected Healthcare.,36382.05,Mid Stage,2020
Reliance Retail,Mumbai,E-commerce,"Retailer delivering superior value to its customers, suppliers and shareholders.",123941.5,Other Stages,2020
QShala,Bengaluru,EdTech,A platform that helps kids learn about life skills,3638.2,Mid Stage,2020
Pitstop,Bengaluru,Car Service,"Pitstop owns and operates a network of garages that provides car repair, detailing",12369.9,Early Stage,2020
Zomato,Gurugram,Food devlivery,Get online food delivery from restaurants near you,1212734.84,Mid Stage,2020
Customfit ai,Bengaluru,SaaS startup,Operates on a SaaS model by providing a hyper-personalised website to users.,36382.05,Other Stages,2020
Nirmata,San Franciscao,Tech,Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps,36382.05,Other Stages,2020
Hire Me Car,Noida,TravelTech,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,36382.05,Early Stage,2020
Oga Fit,Bengaluru,Fitness startup,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,36382.05,Other Stages,2020
ShipsKart,New Delhi,E-commerce,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.",2425.47,Other Stages,2020
SquadStack,San Francisco,Tech company,"Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.",60636.74,Mid Stage,2020
Financepeer,Mumbai,EdTech,Financepeer is an AI based peer to peer lending platform.,36382.05,Other Stages,2020
Cashify,Gurugram,E-commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,121273.48,Other Stages,2020
Etrio,Hyderabad,EV startup,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",36382.05,Mid Stage,2020
Codeyoung,Bengaluru,EdTech,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,36382.05,Early Stage,2020
StayQrious,Bengaluru,EdTech,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.",24254.7,Early Stage,2020
Sunstone Eduversity,Gurugram,EdTech,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,36382.05,Mid Stage,2020
Infilect,Bengaluru,SaaS startup,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,18191.02,Other Stages,2020
MobiGarage,New Delhi,E-commerce,An ecommerce platform for refurbished electronics.,36382.05,Other Stages,2020
Samunnati,Chennai,Agriculture,Samunnati is a financial service provider focused on agri value chains.,242546.97,Other Stages,2020
WeInnovate Biosolutions,Pune,Startup laboratory,Startup working dedicatedly in the area of healthcare-therapeutic solutions.,36382.05,Early Stage,2020
Yummy Corp,"Tangerang, Jawa Barat, Indonesia",Food Industry,"Yummy Corp is a food & beverages company that provides delicious, fresh, and creative food solutions for everyday corporate and group needs.",145528.18,Mid Stage,2020
Smallcase,Bengaluru,FinTech,Smallcases are portfolios of stocks or ETFs created by India's top financial experts.,162506.47,Mid Stage,2020
Clairvolex,California,Tech Startup,Clairvolex is an IP solutions company that manages IP assets of large corporations using an IPAM model.,24254.7,Other Stages,2020
Assiduus,Bengaluru,E-commerce,"Assiduus leverages its eCommerce experience to help build, grow and scale your brand on various eCommerce platforms",12127.35,Mid Stage,2020
Brinton,California,HealthTech,Brinton is one of the fastest growing Pharmaceutical Companies spreading its network worldwide.,15765.55,Other Stages,2020
AFK Gaming,Mumbai,Entertainment,AFK Gaming is a media and entertainment and gaming company located in Mumbai.,2425.47,Other Stages,2020
Infarm,Berlin,AgriTech,Infarm builds and distributes highly efficient vertical farms throughout cities to grow fresh produce right in your neighbourhood.,2061649.23,Mid Stage,2020
Zuper,Seattle,SaaS startup,Zuper is a productivity suite for service businesses to mobile field workforce and automate all business operations.,13340.08,Early Stage,2020
mCaffeine,Mumbai,Personal care startup,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",35169.31,Mid Stage,2020
Origa,Andheri,FinTech,The charioteer of your growth at all times.,24254.7,Other Stages,2020
GullyBuy Software,Pune,Tech Startup,To deliver a solution that will provide shopping convenience to every consumer in India,6585.15,Other Stages,2020
Recordent,Hyderabad,FinTech,A technology-enabled platform that helps MSMEs to increase their business efficiency through collection of dues,36382.05,Early Stage,2020
MPL,Bengaluru,Entertainment,Mobile Premier League is the mobile e-Sports platform based in India.,1091461.36,Mid Stage,2020
Penny,Riyadh,SaaS startup,Offer various development solutions and mainly focus on helping startups,15765.55,Early Stage,2020
Onsitego,Mumbai,Customer service company,Onsitego is a customer service company for device and appliance repairs.,363820.45,Mid Stage,2020
Precily,California,SaaS  startup,Precily is Artificial Intelligence platform for enterprises that increases efficiency of workforce by providing AI based solutions.,36382.05,Early Stage,2020
SmartClean,Singapore,Tech Startup,SmartClean Technologies is an AI company that offers data-driven cleaning operations designed for facilities.,41232.98,Other Stages,2020
ClanConnect,New Delhi,Marketing startup,"AI-driven influencer marketing platform ClanConnect.ai, which helps brands make their campaigns more data and result-oriented",7276.41,Early Stage,2020
Servify,Mumbai,Technology Services,Servify is a self-learning platform that provides device management services and warranty solutions.,278929.01,Mid Stage,2020
ShareChat,Bengaluru,Social media,ShareChat is a social networking and regional content platform.,485093.94,Other Stages,2020
Rephrase.ai,Bengaluru,AI,Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool.,18191.02,Early Stage,2020
Melorra,Bengaluru,Jewellery,"Buy Latest Gold, Diamond & Gemstone Jewellery Designs Online Rings, Earrings, Necklace",98110.25,Other Stages,2020
FabHotels,Gurugram,Hospitality,FabHotels is a network of 3 star budget hotels in India,12491.17,Mid Stage,2020
EkAnek,New Delhi,Tech Startup,EkAnek Networks is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories,61121.84,Other Stages,2020
Cub McPaws,Mumbai,AR startup,Cub McPaws is a kids clothing brand.,9701.88,Other Stages,2020
Zimyo,Gurugram,HR Tech startup,Employee experience platform that empowers organizations to manage and retain great talent!,18191.02,Early Stage,2020
PumPumPum,Gurugram,Automotive Startup,Pumpumpum is a car rental company,4365.85,Other Stages,2020
Burgerama,Gurugram,Food Startup,Burgerama is a unit of Junket Foods Private Limited,36382.05,Other Stages,2020
Moms Co,Gurugram,HealthCare,The Moms Co. creates a safe and natural formulated products for babies that are certified toxin-free,97018.79,Mid Stage,2020
DillyHub,Seoul,Publication,A service that promotes and facilitates the works of independent comic artists,16978.29,Early Stage,2020
FPL Technologies,Pune,FinTech,FPL is on a mission to re-imagine credit and payments from first principles and is building a mobile-first credit card,121273.48,Mid Stage,2020
FITTR,Pune,Fitness startup,Fitness Social Network & Consultation Platform that helps you achieve your Health & Fitness goals.,24254.7,Other Stages,2020
Illumnus,Gurugram,EdTech Startup,"An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities",1212.73,Early Stage,2020
CashKaro,Gurugram,E-commerce,Cashkaro is a coupons and cashback site rewarding customers for visiting online retailers through their site.,121273.48,Mid Stage,2020
Newton School,Bengaluru,EdTech Startup,Newton School is a platform to learn and develop skills,7882.78,Early Stage,2020
Airmeet,Bengaluru,Tech Startup,"Airmeet is an all-in-one events platform for virtual summits, meetups, and workshops that includes virtual social lounge",145528.18,Mid Stage,2020
Observe ai,San Francisco,Tech,"Observe.AI develops a voice AI platform for contact centers, turning agents into top performers.",654876.81,Mid Stage,2020
InCred,Mumbai,Finance,"Provide loans for all your needs like personal loan for wedding, education loan, business loan",60636.74,Other Stages,2020
Toppr,Mumbai,EdTech,Toppr is an Indian educational technology and online tutoring firm,424457.19,Late Stage,2020
CarTrade,Mumbai,Car Trade,Buy and Sell Used Cars,515412.31,Late Stage,2020
LEAD School,Mumbai,EdtTech,Offers a high-end digital classroom system focused on enhancing the learning experience,339565.76,Mid Stage,2020
Servify,Mumbai,Technology Services,"Enables top OEMs & ODMs in device distribution, sales, warranty",137887.95,Mid Stage,2020
Lido Learning,Mumbai,EdTech,"Online classes for Std 4-9 in Math, Science, Coding, English & Leadership with top 1% tutors ?",90955.11,Mid Stage,2020
Apna.co,Bengaluru,Job portal,Can find all types of jobs from entry level to experienced people in over 60+ categories.,97018.79,Mid Stage,2020
Quintype Technologies,Bengaluru,Tech,"Building a suite of digital publishing solutions to simplify content creation, distribution",3941.39,Mid Stage,2020
Dunzo,Bengaluru,Tech,Order online and get free delivery from your nearby restaurants,339565.76,Late Stage,2020
Entropik,Bengaluru,AI Platform,Gain insights into human emotions with AI-powered platform affect lab.,97018.79,Mid Stage,2020
Livspace,Bengaluru,Home Design,Interior design marketplace that connects interior designers,109146.14,Late Stage,2020
Ultraviolette Automotive,Bengaluru,Automation,Industries Automotive Electric Vehicle Energy Energy Storage,4972.21,Mid Stage,2020
WinZO,New Delhi,Gaming,WinZO is a mobile e-Sports gaming platform in India. It is available in 10 regional languages of India.,218292.27,Mid Stage,2020
SenseHawk,Bengaluru,Solar SaaS,SenseHawk is a SaaS platform that helps improve processes and saves cost in the development,60636.74,Mid Stage,2020
Railofy,Mumbai,WL & RAC protection,Enables waitlisted passengers to reach their destination at the lowest possible price if their ticket is not,10914.61,Early Stage,2020
Eloelo,Bengaluru,Social commerce,"Social Commerce Venture for Wellness. View company info, jobs, team members, culture, funding and more.",5457.31,Early Stage,2020
Aibono,Bengaluru,AgriTech,A next dimension food & farming platform that unites two ends of the food chain from growing to consuming,24254.7,Other Stages,2020
BuildPan,Indore,SaaS startup,"Buildpan helps you with continuous build, development and user feedback for iOS and Android development.",6063.67,Early Stage,2020
Homelane,Bengaluru,Home interior services,Explore 1000's of fully customizable home interior designs.,97018.79,Other Stages,2020
