Company	Sector	Stage	Amount	Location	About	Funding Year
FreshtoHome	E-commerce	Other Stages	194037.57	Bengaluru	Freshtohome is an e-commerce platform for fresh and chemical-free seafood.	2020
Jumbotail	Retail	Mid Stage	133400.83	Bengaluru	Jumbotail is solving an important problem of organising food and grocery ecosystem in India	2020
Nykaa	E-commerce	Other Stages	36382.05	Mumbai	Nykaa is an online marketplace for different beauty and wellness products.	2020
TagZ Foods	Food	Mid Stage	36382.05	Bengaluru	TagZ Foods is a supplier of snacks and food products.	2020
Genius Teacher	Edtech	Mid Stage	24254.7	Mumbai	Genius Teacher creates engaging educational content, delivers fun learning experience to the students	2020
Krimanshi Feeds	Nutrition sector	Mid Stage	6063.67	Jodhpur	Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.	2020
Origo	AgriTech	Other Stages	48509.39	Gurugram	Provider of marketing and warehousing services for agricultural commodities.	2020
GetVantage	FinTech	Early Stage	60636.74	Mumbai	GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.	2020
Betterplace	Tech platform	Mid Stage	121273.48	Bengaluru	Developer of a digital verification platform designed to manage the semi-formal workforce.	2020
Biddano	Healthcare	Other Stages	7276.41	Mumbai	India's 1st tech-enabled healthcare logistics platform.	2020
InVideo	Video	Mid Stage	181910.23	Mumbai	InVideo enables you to transform your content into great videos.	2020
Arzooo	Retail Tech	Mid Stage	90955.11	Bengaluru	Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales	2020
Hubilo	Tech company	Early Stage	54573.07	San Francisco, California, United States	World’s smartest virtual event platform that brings Experience & Intelligence together	2020
BASIC Home Loan	FinTech	Early Stage	60636.74	Gurugram	A platform for automating home loans for middle and low-income households in India,	2020
Ketos	AI startup	Other Stages	218292.27	San Francisco, United States	KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.	2020
SUGAR cosmetics	Cosmetics	Other Stages	24254.7	Mumbai	It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.	2020
Signzy	FinTech	Mid Stage	65487.68	Bengaluru	It is creating 'building blocks for a Digital Trust system.	2020
Ahaguru	Edtech	Mid Stage	36382.05	Chennai	It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.	2020
Tekion	AI startup	Mid Stage	1819102.26	San Ramon, California	It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.	2020
Brighteye Ventures	Edtech	Early Stage	65487.68	Paris, Ile-de-France, France	Education technology venture capital firm.	2020
EzeRx	Medtech	Early Stage	2425.47	Kolkata	Developer and manufacturer of medical devices	2020
VitalTech	HeathTech	Early Stage	36382.05	Plano, Texas, United States	VitalTech is a develop technologies that empower patients to better care for their safety,	2020
Genius Teacher	Edtech	Other Stages	24254.7	Mumbai	Genius Teacher creates engaging educational content, delivers fun learning experience to the students	2020
Ultraviolette Automotive	Automobiles	Mid Stage	48509.39	Bengaluru	Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.	2020
Tring	Social Media	Early Stage	36382.05	Mumbai	Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.	2020
Rare Planet	Retail startup	Other Stages	4850.94	Kolkata	Rare Planet sells handicrafts made by local artisans.	2020
GoodGamer	Gaming	Early Stage	30318.37	Bengaluru	GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.	2020
InnAccel	Medtech	Other Stages	18191.02	Bengaluru	A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.	2020
Tiliter	Retail	Early Stage	90955.11	Sydney	Software that uses computer vision to recognise products without barcodes	2020
Slintel	Sles and marketing	Other Stages	50934.86	San Francisco Bay Area, Silicon Valley, West Coast	Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.	2020
SoOLEGAL	LegalTech	Early Stage	48509.39	New Delhi	SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.	2020
HobSpace	Edtech	Early Stage	2425.47	Mumbai	India's Activity Hub for Kids	2020
Supplynote	SaaS startup	Early Stage	6063.67	Noida	Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem	2020
Hire Me Car	Car Service	Early Stage	36382.05	Noida	India's largest cloud based digital discovery and services provisioning platform for the taxi rental	2020
ShopUp	E-commerce	Mid Stage	266801.66	Bangaldesh	ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.	2020
Harmonizer India	Tech Startup	Mid Stage	36382.05	Bengaluru	Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,	2020
Zomato	FoodTech	Other Stages	630622.12	Gurugram	Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.	2020
Dukaan	Tech Startup	Early Stage	72764.09	Mumbai	Developer of an android application designed for businesses to sell online.	2020
CredR	Bike marketplace	Early Stage	24254.7	Mumbai	India’s Only 100% Inspected and Certified Used Bikes Marketplace.	2020
Satyukt	Agri tech	Early Stage	6063.67	Bengaluru	An agritech company that provides business to business (B2B) agricultural data	2020
RACEnergy	Automobiles	Late Stage	36382.05	Hyderabad	RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.	2020
TREAD	Fitness startup	Early Stage	13340.08	Bengaluru	A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.	2020
Anveshan	FoodTech	Early Stage	1212.73	Bengaluru	Provide quality and healthy food products	2020
TeaMonk	Food & Bevarages	Other Stages	10914.61	Bengaluru	India's Finest Specialty Tea company.	2020
Fleetx	Tech Startup	Other Stages	36382.05	Gurugram	Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.	2020
ReNEWate	Real Estate	Early Stage	36382.05	Pune	Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.	2020
Tango Eye	SaaS startup	Early Stage	36382.05	Chennai	Retail Video Analytics SaaS product	2020
Rare Planet	Reatil startup	Other Stages	36382.05	Kolkata	Rare Planet sells handicrafts made by local artisans.	2020
Avataa Me	AR platform	Mid Stage	84891.44	Bengaluru	AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.	2020
Arrival	EV startup	Mid Stage	1431027.11	London, England, United Kingdom	Arrival is a technology company that specializes in developing electric vehicles.	2020
Cover Genius	FinTech	Late Stage	181910.23	Sydney, New South Wales, Australia	Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies	2020
Phononic Vibes	Deeptech	Other Stages	27892.9	Milano, Lombardia, Italy	Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.	2020
MikeLegal	LegalTech	Early Stage	36382.05	Gurugram	MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools	2020
Clair	FinTech	Early Stage	54573.07	New York, United States	Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.	2020
Gourmet Garden	Consumer Goods	Late Stage	36382.05	Palmwoods, Queensland, Australia	Gourmet Garden is a global market leader in chilled convenient packaged herbs.	2020
Miko	AI startup	Other Stages	36382.05	Mumbai	Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.	2020
Razorpay	FinTech	Late Stage	1212734.84	Bengaluru	Razorpay is a platform that enables businesses to accept, process, and disburse payments.	2020
Ninjacart	Food Industry	Other Stages	363820.45	Bengaluru	Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.	2020
Wow! Momo	Food Industry	Other Stages	60636.74	Kolkata	Wow! Momo is a chain of fast-food restaurants that specializes in momos.	2020
Pepper Content	Content marketplace	Mid Stage	50934.86	Mumbai	Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.	2020
LIVSPACE	Interior Design	Other Stages	48509.39	Bengaluru	Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.	2020
Acculi Labs	Healthcare	Early Stage	7276.41	Bengaluru	Acculi Labs is a clinical grade smartphone based diagnostic tool	2020
Your MD	Healthcare	Other Stages	303183.71	London, England, United Kingdom	Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.	2020
Antaios	Tech company	Mid Stage	133400.83	France	Developer of memory-based technology intended to solve issues of advanced computing.	2020
Unnati	AgriTech	Other Stages	20616.49	Noida	A helping hand to the farming community through Artificial Intelligence	2020
Disprz	Edtech	Other Stages	19403.76	Chennai	Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.	2020
Uni	FinTech	Early Stage	224355.95	Mumbai	The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.	2020
Credit Wise Capital	FinTech	Early Stage	72764.09	Mumbai	CreditWise Capital is a consumer finance company.	2020
Chargebee	SaaS startup	Late Stage	667004.16	San Francisco Bay Area, West Coast, Western US	Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses	2020
Reliance Retail Ventures Ltd	Retail	Mid Stage	848914388.57	Mumbai	Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.	2020
Winuall	Edtech	Early Stage	24254.7	Bengaluru	Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.	2020
Genrobotics	AI startup	Other Stages	3638.2	Trivandrum, Kerala, India	GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.	2020
Livve	Rental space	Early Stage	18191.02	Cochin	An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.	2020
Ergos	AgriTech	Mid Stage	60636.74	Samastipur, Bihar	Ergos is building an integrated supply chain by setting up micro warehouses.	2020
Krishitantra	Soil-Tech	Early Stage	12127.35	Hyderabad	Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.	2020
PakkaProfile	Recruitment startup	Early Stage	36382.05	Bengaluru	PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games	2020
Monet Networks	AI startup	Other Stages	6063.67	Irvine, California, United States	Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.	2020
Unocoin	FinTech	Mid Stage	36382.05	Tumkur, Karnataka	Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.	2020
Pesto	Edtech	Early Stage	36382.05	New Delhi	Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.	2020
NirogStreet	Ayurveda tech	Other Stages	24254.7	Gurugram	NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.	2020
Bambrew	Packaging solution startup	Early Stage	36382.05	Bengaluru	Bambrew is an online shop for reusable bamboo straws.	2020
Omnify	SaaS startup	Other Stages	36382.05	San Francisco Bay Area, Silicon Valley, West Coast	Omnify is a Global SaaS platform for Small Services Business	2020
Fanball XI	Gaming	Early Stage	12127.35	New Delhi	The gaming company mostly focused on fantasy football games	2020
Treebo Hotels	Hospitality	Early Stage	72764.09	Bengaluru	Treebo is India's tech-enabled, asset-light affordable accommodation brand.	2020
GPS Renewables	Cleantech	Mid Stage	36382.05	Bengaluru	To solve the urban waste problem by utilising local technologies and business models.	2020
Public	Social Media	Other Stages	363820.45	New Delhi	Video-led social app Public provides users with a platform to share and view important hyperlocal videos	2020
Legal Salah	LegalTech	Early Stage	12127.35	Kolkata	Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.	2020
FanPlay	Gaming	Early Stage	36382.05	New Delhi	FanPlay Technologies operates as a real-money gaming startup.	2020
ECOSTP	Sanitation solutions	Early Stage	230419.62	Bengaluru	Eco friendly zero power zero maintenance sewage treatment plant in India.	2020
Coralogix	SaaS startup	Mid Stage	303183.71	San Francisco, California, United States	Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.	2020
Equiwatt	Tech company	Other Stages	3638.2	Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom	Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.	2020
Reliance Retail Ventures	E-commerce	Mid Stage	9701878.73	Mumbai	Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.	2020
Zhangmen	Edtech	Early Stage	4850939.36	Shanghai, China	Zhangmen is an online tutoring platform provides tutoring courses to students.	2020
AgroWave	AgriTech	Other Stages	6063.67	Gurugram	Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.	2020
Sapio Analytics	Tech company	Mid Stage	1819.1	Mumbai	Sapio Analytics provides AI-powered policymaking solutions for government institutions.	2020
Taimei	HealthCare	Mid Stage	2134413.32	Jiaxing, Zhejiang, China	Taimei Technology provides a cloud platform for clinical research collaboration.	2020
Avanse Financial Services	FinTech	Mid Stage	181910.23	Mumbai	Avanse, regulated by the Reserve Bank of India, is an education finance company that operates as a non-banking finance company (NBFC).	2020
Industry Buying	E-commerce	Other Stages	181910.23	New Delhi	India's largest industrial ecommerce platform	2020
Hopscotch	E-commerce	Mid Stage	303183.71	Mumbai	Hopscotch provides an insider access to international brands for babies, kids, and moms.	2020
Pristyn Care	HealthCare	Other Stages	133400.83	Gurugram	Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.	2020
WoodenStreet	Home Design	Mid Stage	12127.35	Rajastan	Wooden Street is a online furniture platform that provides custom made & ready to order furniture.	2020
ACKO	InsureTech	Mid Stage	727640.9	Mumbai	Acko General Insurance is a private sector general insurance company in India.	2020
Farmers Fresh Zone	AgriTech	Early Stage	5699.85	Kochi	FarmersFZ is an online venture for fresh and safe vegetables and agri products.	2020
Invento	AI Startup	Early Stage	36382.05	Bengaluru	Invento Robotics specializes in developing service robots intended for customer interactions.	2020
Infurnia	Tech Startup	Other Stages	2910.56	Bengaluru	Infurnia Technologies is an eponymous cloud-based architecture design software platform.	2020
AnalytIQSports's SuperCric	Entertainment	Other Stages	36382.05	Bengaluru	SuperCric is India's first strategy Cricket Manager simulation game	2020
Snowflake	Tech company	Other Stages	36382045.22	California	Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.	2020
GenieTalk	Tech company	Mid Stage	9095.51	Indore	GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.	2020
Classplus	EdTech	Mid Stage	121273.48	Noida	Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.	2020
Mobile Premier League	Entertainment	Early Stage	897423.78	Bengaluru	Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games	2020
Fourth Partner Energy	Solar solution	Early Stage	194037.57	Hyderabad	Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.	2020
Flipkart	E-commerce	Early Stage	751895.6	Bengaluru	Flipkart is an e-commerce marketplace that offers over 30 million products cross 70+ categories.	2020
Vivriti Capital	FinTech	Mid Stage	12127.35	Chennai	Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.	2020
InsuranceDekho	FinTech	Other Stages	242546.97	Ludhiana	The funding for branding and marketing activities as well as strengthening the product and technology teams	2020
BestDoc	HealthCare	Mid Stage	25467.43	Kochi	An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.	2020
Byju’s	EdTech	Mid Stage	6063674.2	Bengaluru	An Indian educational technology and online tutoring firm	2020
Melorra	Jewellery startup	Other Stages	151591.86	Bengaluru	Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.	2020
Reliance	Multinational conglomerate company	Early Stage	26680166.5	Mumbai	Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources	2020
Inflexor Ventures	FinTech	Early Stage	121273.48	Mumbai	Experienced Venture Capital-General Partner focused on Technology investments.	2020
Pandorum	Deeptech startup	Mid Stage	61364.38	Bengaluru	A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.	2020
SpeakIn	Social Network	Other Stages	36382.05	Noida	AI-enabled network of speakers and thought leaders, aka. experts	2020
LetsUp	Publication	Mid Stage	36382.05	Mumbai	Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free	2020
Newsreach	Publication	Mid Stage	36382.05	Gujarat	NewsReach India offers partner publications a digital footprint	2020
Dream11	Entertainment	Mid Stage	2728653.39	Mumbai	Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket	2020
SignalX	SaaS platform	Other Stages	9095.51	Hyderabad	An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis	2020
JetSynthesys	Tech	Early Stage	485093.94	Mumbai	Gaming and entertainment startup	2020
Vesta Space Technology	Tech Startup	Early Stage	121273.48	Pune	VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.	2020
Dozee	HealthTech	Early Stage	19403.76	Bengaluru	Dozee offers health and wellness monitoring products.	2020
Rebel Foods	Food	Mid Stage	606367.42	Mumbai	Known for its larger brands – Faasos, Behrouz Biryani, Oven story and Mandarin	2020
Nykaa	Fashion	Other Stages	299545.51	Mumbai	Cosmetics & beauty products online	2020
Ketto	Finance	Late Stage	93380.58	Mumbai	Crowdfunding, Charity, E-commerce	2020
Suryoday	Finance	Mid Stage	9701.88	Mumbai	Banks that extends two distinct fixed deposit schemes	2020
SucSEED	Finance	Early Stage	15765.55	Hyderabad	Venture Partners	2020
Unacademy	EdTech	Other Stages	1819102.26	Bengaluru	Unacademy is an Indian online education technology company	2020
Strata	Real Estate	Other Stages	231236.13	Bengaluru	Commercial Real Estate, Commercial Property Investment, Best Long Term Investments	2020
3one4 Capital	Venture capital	Mid Stage	1212734.84	Bengaluru	Use transformative capital and a deep involvement strategy to help Indian entrepreneurs	2020
WE-Hub	Entreprenurship	Mid Stage	36382.05	Hyderabad	WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.	2020
Zomato	Food devlivery	Other Stages	751895.6	Gurugram	Get online food delivery from restaurants near you	2020
Vicara	Tech Startup	Early Stage	36382.05	Bengaluru	A deep tech startup pioneering in motion-based interfaces and insights.	2020
Gaana	Entertainment	Mid Stage	618494.77	Gurugram	Gaana is a commercial music streaming service providing free and licensed music.	2020
EM3 Agri	AgriTech	Late Stage	12127.35	Noida	A pioneering organization in the farming-as-a service (FaaS) space	2020
Plum	Cosmetics	Mid Stage	1394.65	Thane	Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair	2020
Odwen	Warehouse	Other Stages	654.88	Noida	India's first do-it-yourself warehouse management system.	2020
Fasal	AgriTech	Other Stages	242.55	Bengaluru	Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages	2020
Trukky	Logistics	Mid Stage	36382.05	Ahmedabad	Transportation, logistics services & cargo services.	2020
BankBazaar	Online financial service	Late Stage	109146.14	Chennai	Check your latest Credit Score and get your Credit Report online in India for Free	2020
Specsmakers	Eyeglasses	Other Stages	36382.05	Chennai	A leader in crafting stylish, high-quality, eyewear at affordable prices.	2020
Grinntech	Battery design	Mid Stage	24254.7	Dehradun	Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability	2020
CreditMantri	Online credit management startup	Other Stages	9740.03	Chennai	CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.	2020
Chai Waale	Beverage	Early Stage	2886.31	Chennai	Given the rising trend in the number of tea stalls in the city	2020
Deepsync	Tech Startup	Late Stage	3638.2	Bengaluru	Deepsync is a revolutionary way to record your content, without you really speaking.	2020
ConnectedH	HealthCare	Mid Stage	36382.05	Gurugram	The company’s vision is simple – Connected Healthcare.	2020
Reliance Retail	E-commerce	Other Stages	123941.5	Mumbai	Retailer delivering superior value to its customers, suppliers and shareholders.	2020
QShala	EdTech	Mid Stage	3638.2	Bengaluru	A platform that helps kids learn about life skills	2020
Pitstop	Car Service	Early Stage	12369.9	Bengaluru	Pitstop owns and operates a network of garages that provides car repair, detailing	2020
Zomato	Food devlivery	Mid Stage	1212734.84	Gurugram	Get online food delivery from restaurants near you	2020
Customfit ai	SaaS startup	Other Stages	36382.05	Bengaluru	Operates on a SaaS model by providing a hyper-personalised website to users.	2020
Nirmata	Tech	Other Stages	36382.05	San Franciscao	Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps	2020
Hire Me Car	TravelTech	Early Stage	36382.05	Noida	HireMeCar.com offers customers the fastest and easiest way to plan road travel.	2020
Oga Fit	Fitness startup	Other Stages	36382.05	Bengaluru	The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.	2020
ShipsKart	E-commerce	Other Stages	2425.47	New Delhi	ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.	2020
SquadStack	Tech company	Mid Stage	60636.74	San Francisco	Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.	2020
Financepeer	EdTech	Other Stages	36382.05	Mumbai	Financepeer is an AI based peer to peer lending platform.	2020
Cashify	E-commerce	Other Stages	121273.48	Gurugram	Cashify.in is an e-commerce platform for reselling used electronic gadgets.	2020
Etrio	EV startup	Mid Stage	36382.05	Hyderabad	Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT	2020
Codeyoung	EdTech	Early Stage	36382.05	Bengaluru	Codeyoung provides live online coding classes for kids between the age of 5 - 17.	2020
StayQrious	EdTech	Early Stage	24254.7	Bengaluru	Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.	2020
Sunstone Eduversity	EdTech	Mid Stage	36382.05	Gurugram	India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.	2020
Infilect	SaaS startup	Other Stages	18191.02	Bengaluru	Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos	2020
MobiGarage	E-commerce	Other Stages	36382.05	New Delhi	An ecommerce platform for refurbished electronics.	2020
Samunnati	Agriculture	Other Stages	242546.97	Chennai	Samunnati is a financial service provider focused on agri value chains.	2020
WeInnovate Biosolutions	Startup laboratory	Early Stage	36382.05	Pune	Startup working dedicatedly in the area of healthcare-therapeutic solutions.	2020
Yummy Corp	Food Industry	Mid Stage	145528.18	Tangerang, Jawa Barat, Indonesia	Yummy Corp is a food & beverages company that provides delicious, fresh, and creative food solutions for everyday corporate and group needs.	2020
Smallcase	FinTech	Mid Stage	162506.47	Bengaluru	Smallcases are portfolios of stocks or ETFs created by India's top financial experts.	2020
Clairvolex	Tech Startup	Other Stages	24254.7	California	Clairvolex is an IP solutions company that manages IP assets of large corporations using an IPAM model.	2020
Assiduus	E-commerce	Mid Stage	12127.35	Bengaluru	Assiduus leverages its eCommerce experience to help build, grow and scale your brand on various eCommerce platforms	2020
Brinton	HealthTech	Other Stages	15765.55	California	Brinton is one of the fastest growing Pharmaceutical Companies spreading its network worldwide.	2020
AFK Gaming	Entertainment	Other Stages	2425.47	Mumbai	AFK Gaming is a media and entertainment and gaming company located in Mumbai.	2020
Infarm	AgriTech	Mid Stage	2061649.23	Berlin	Infarm builds and distributes highly efficient vertical farms throughout cities to grow fresh produce right in your neighbourhood.	2020
Zuper	SaaS startup	Early Stage	13340.08	Seattle	Zuper is a productivity suite for service businesses to mobile field workforce and automate all business operations.	2020
mCaffeine	Personal care startup	Mid Stage	35169.31	Mumbai	MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.	2020
Origa	FinTech	Other Stages	24254.7	Andheri	The charioteer of your growth at all times.	2020
GullyBuy Software	Tech Startup	Other Stages	6585.15	Pune	To deliver a solution that will provide shopping convenience to every consumer in India	2020
Recordent	FinTech	Early Stage	36382.05	Hyderabad	A technology-enabled platform that helps MSMEs to increase their business efficiency through collection of dues	2020
MPL	Entertainment	Mid Stage	1091461.36	Bengaluru	Mobile Premier League is the mobile e-Sports platform based in India.	2020
Penny	SaaS startup	Early Stage	15765.55	Riyadh	Offer various development solutions and mainly focus on helping startups	2020
Onsitego	Customer service company	Mid Stage	363820.45	Mumbai	Onsitego is a customer service company for device and appliance repairs.	2020
Precily	SaaS  startup	Early Stage	36382.05	California	Precily is Artificial Intelligence platform for enterprises that increases efficiency of workforce by providing AI based solutions.	2020
SmartClean	Tech Startup	Other Stages	41232.98	Singapore	SmartClean Technologies is an AI company that offers data-driven cleaning operations designed for facilities.	2020
ClanConnect	Marketing startup	Early Stage	7276.41	New Delhi	AI-driven influencer marketing platform ClanConnect.ai, which helps brands make their campaigns more data and result-oriented	2020
Servify	Technology Services	Mid Stage	278929.01	Mumbai	Servify is a self-learning platform that provides device management services and warranty solutions.	2020
ShareChat	Social media	Other Stages	485093.94	Bengaluru	ShareChat is a social networking and regional content platform.	2020
Rephrase.ai	AI	Early Stage	18191.02	Bengaluru	Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool.	2020
Melorra	Jewellery	Other Stages	98110.25	Bengaluru	Buy Latest Gold, Diamond & Gemstone Jewellery Designs Online Rings, Earrings, Necklace	2020
FabHotels	Hospitality	Mid Stage	12491.17	Gurugram	FabHotels is a network of 3 star budget hotels in India	2020
EkAnek	Tech Startup	Other Stages	61121.84	New Delhi	EkAnek Networks is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories	2020
Cub McPaws	AR startup	Other Stages	9701.88	Mumbai	Cub McPaws is a kids clothing brand.	2020
Zimyo	HR Tech startup	Early Stage	18191.02	Gurugram	Employee experience platform that empowers organizations to manage and retain great talent!	2020
PumPumPum	Automotive Startup	Other Stages	4365.85	Gurugram	Pumpumpum is a car rental company	2020
Burgerama	Food Startup	Other Stages	36382.05	Gurugram	Burgerama is a unit of Junket Foods Private Limited	2020
Moms Co	HealthCare	Mid Stage	97018.79	Gurugram	The Moms Co. creates a safe and natural formulated products for babies that are certified toxin-free	2020
DillyHub	Publication	Early Stage	16978.29	Seoul	A service that promotes and facilitates the works of independent comic artists	2020
FPL Technologies	FinTech	Mid Stage	121273.48	Pune	FPL is on a mission to re-imagine credit and payments from first principles and is building a mobile-first credit card	2020
FITTR	Fitness startup	Other Stages	24254.7	Pune	Fitness Social Network & Consultation Platform that helps you achieve your Health & Fitness goals.	2020
Illumnus	EdTech Startup	Early Stage	1212.73	Gurugram	An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities	2020
CashKaro	E-commerce	Mid Stage	121273.48	Gurugram	Cashkaro is a coupons and cashback site rewarding customers for visiting online retailers through their site.	2020
Newton School	EdTech Startup	Early Stage	7882.78	Bengaluru	Newton School is a platform to learn and develop skills	2020
Airmeet	Tech Startup	Mid Stage	145528.18	Bengaluru	Airmeet is an all-in-one events platform for virtual summits, meetups, and workshops that includes virtual social lounge	2020
Observe ai	Tech	Mid Stage	654876.81	San Francisco	Observe.AI develops a voice AI platform for contact centers, turning agents into top performers.	2020
InCred	Finance	Other Stages	60636.74	Mumbai	Provide loans for all your needs like personal loan for wedding, education loan, business loan	2020
Toppr	EdTech	Late Stage	424457.19	Mumbai	Toppr is an Indian educational technology and online tutoring firm	2020
CarTrade	Car Trade	Late Stage	515412.31	Mumbai	Buy and Sell Used Cars	2020
LEAD School	EdtTech	Mid Stage	339565.76	Mumbai	Offers a high-end digital classroom system focused on enhancing the learning experience	2020
Servify	Technology Services	Mid Stage	137887.95	Mumbai	Enables top OEMs & ODMs in device distribution, sales, warranty	2020
Lido Learning	EdTech	Mid Stage	90955.11	Mumbai	Online classes for Std 4-9 in Math, Science, Coding, English & Leadership with top 1% tutors ?	2020
Apna.co	Job portal	Mid Stage	97018.79	Bengaluru	Can find all types of jobs from entry level to experienced people in over 60+ categories.	2020
Quintype Technologies	Tech	Mid Stage	3941.39	Bengaluru	Building a suite of digital publishing solutions to simplify content creation, distribution	2020
Dunzo	Tech	Late Stage	339565.76	Bengaluru	Order online and get free delivery from your nearby restaurants	2020
Entropik	AI Platform	Mid Stage	97018.79	Bengaluru	Gain insights into human emotions with AI-powered platform affect lab.	2020
Livspace	Home Design	Late Stage	109146.14	Bengaluru	Interior design marketplace that connects interior designers	2020
